kepid,kepoi_name,koi_period,koi_prad,koi_teq,pred_prob_confirmed,pred_label
9427402,K01397.01,6.247030799,1.89,512.0,0.9665183033393543,1
9347899,K00935.04,9.61731426,1.94,1010.0,0.9654582108545459,1
4951877,K00501.01,24.7962801,2.7,664.0,0.9651919077700535,1
8261920,K02174.01,6.69332825,2.44,609.0,0.9651767597229239,1
11520459,K02226.01,8.46354384,2.51,805.0,0.96502640545219,1
5956656,K01053.02,46.245164,2.46,519.0,0.9646904495804082,1
8949925,K02972.01,13.2511214,1.98,850.0,0.9646709099938413,1
11253711,K01972.01,17.79108667,2.88,830.0,0.96448729411124,1
5542466,K01590.01,12.89006728,1.93,620.0,0.9644321076831259,1
6837146,K01362.01,20.51360192,2.58,540.0,0.9644147478409583,1
9580992,K02217.01,37.8034121,2.95,460.0,0.9642938679568702,1
4242147,K01934.01,28.78270955,2.11,443.0,0.9642847349801812,1
3765917,K04526.01,30.5392931,2.72,669.0,0.9635971181664447,1
10928043,K01315.01,6.84639884,1.9,1132.0,0.9633535451970655,1
5621333,K03341.01,27.0965146,2.13,700.0,0.9633154827664805,1
8313667,K01145.01,30.5872153,2.32,621.0,0.9630089106364302,1
11395587,K00350.01,12.99065074,2.02,790.0,0.9630034599287776,1
4947556,K03936.01,141.608555,2.98,290.0,0.9629669979545541,1
5131180,K00641.01,14.85185526,2.73,457.0,0.9627182741163771,1
11570749,K01856.01,46.2991052,4.33,592.0,0.9625994141443499,1
